stage,trial,batch,source,observation,verification,status,score,task_messages,original_source_matches_audit_hash
2,1,structured-audit-01-05,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-01,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-01/observation.json,/private/tmp/arc30-22772406666b/structured-audit-01-05/verification.json,success,20,3,True
2,2,structured-audit-01-05,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-02,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-02/observation.json,/private/tmp/arc30-22772406666b/structured-audit-01-05/verification.json,success,20,5,True
2,3,structured-audit-01-05,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-03,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-03/observation.json,/private/tmp/arc30-22772406666b/structured-audit-01-05/verification.json,success,20,2,True
2,4,structured-audit-01-05,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-04,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-04/observation.json,/private/tmp/arc30-22772406666b/structured-audit-01-05/verification.json,success,20,4,True
2,5,structured-audit-01-05,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-05,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-05/observation.json,/private/tmp/arc30-22772406666b/structured-audit-01-05/verification.json,success,20,2,True
2,6,structured-audit-06-08,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-06/observation.json,/private/tmp/arc30-22772406666b/structured-audit-06-08/verification.json,success,20,4,True
2,7,structured-audit-06-08,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-07/observation.json,/private/tmp/arc30-22772406666b/structured-audit-06-08/verification.json,success,20,2,True
2,8,structured-audit-06-08,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-08/observation.json,/private/tmp/arc30-22772406666b/structured-audit-06-08/verification.json,success,20,2,True
2,9,structured-audit-09-11,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-09/observation.json,/private/tmp/arc30-22772406666b/structured-audit-09-11/verification.json,success,20,2,True
2,10,structured-audit-09-11,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-10/observation.json,/private/tmp/arc30-22772406666b/structured-audit-09-11/verification.json,success,20,2,True
2,11,structured-audit-09-11,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-11/observation.json,/private/tmp/arc30-22772406666b/structured-audit-09-11/verification.json,success,20,2,True
2,12,structured-audit-12-14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-12,/private/tmp/arc30-22772406666b/structured-audit-12-14/stage-2/trial-12/observation.json,/private/tmp/arc30-22772406666b/structured-audit-12-14/verification.json,success,20,4,True
2,13,structured-audit-12-14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-13,/private/tmp/arc30-22772406666b/structured-audit-12-14/stage-2/trial-13/observation.json,/private/tmp/arc30-22772406666b/structured-audit-12-14/verification.json,success,20,3,True
2,14,structured-audit-12-14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-14,/private/tmp/arc30-22772406666b/structured-audit-12-14/stage-2/trial-14/observation.json,/private/tmp/arc30-22772406666b/structured-audit-12-14/verification.json,success,20,2,True
2,15,structured-audit-15-17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-15,/private/tmp/arc30-22772406666b/structured-audit-15-17/stage-2/trial-15/observation.json,/private/tmp/arc30-22772406666b/structured-audit-15-17/verification.json,success,20,3,True
