stage,trial,status,score,quality_gap,task_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,wait,protocol_rejections,first_candidate,source,observation
2,9,success,20,0,2,144,0,0,0,0,0,0,0,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-09/observation.md
2,10,success,20,0,2,144,0,0,0,0,0,0,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-10/observation.md
2,11,success,20,0,2,144,0,0,0,0,0,0,0,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-2/trial-11/observation.md
3,9,success,20,0,4,148,0,0,0,1,1,74,0,1,"m2 B (9,6,10) 19점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-3/trial-09/observation.md
3,10,success,20,0,7,120,0,0,0,0,0,42,0,2,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-3/trial-10/observation.md
3,11,success,20,0,2,144,0,0,0,0,0,72,0,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-3/trial-11/observation.md
4,9,success,20,0,3,144,0,0,0,0,0,0,0,0,"m3 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-4/trial-09/observation.md
4,10,success,20,0,2,144,0,0,0,0,0,0,0,1,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-4/trial-10/observation.md
4,11,success,20,0,3,143,1,0,0,0,0,0,1,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-4/trial-11/observation.md
5,9,success,20,0,2,125,0,0,0,0,0,53,0,1,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-5/trial-09/observation.md
5,10,success,20,0,2,144,0,0,0,0,0,72,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-5/trial-10/observation.md
5,11,success,20,0,3,144,0,0,0,0,0,72,0,1,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-5/trial-11/observation.md
6,9,success,20,0,3,144,0,0,0,0,0,0,0,0,"m4 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-09,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-6/trial-09/observation.md
6,10,success,20,0,4,146,0,0,0,0,0,74,0,0,"m5 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-10,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-6/trial-10/observation.md
6,11,success,20,0,3,144,0,0,0,0,0,74,0,0,"m5 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-11,/private/tmp/arc30-22772406666b/structured-audit-09-11/stage-6/trial-11/observation.md
