stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,first_candidate_score,waits,rejections,notes
2,21,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-21,success,20,2,2,144,0,0,0,0,0,0,4,20,0,0,요약 교환·제안·제출
2,22,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-22,success,20,2,2,143,1,0,0,0,0,0,4,20,0,0,"A/M3/3 선호도2→정답1, 미정정"
3,21,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-21,success,20,3,3,144,0,0,0,1,1,0,6,19,0,1,종류중복 거절 뒤 정보만 전달; 후보19→20 revise
3,22,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-22,success,20,3,3,144,0,0,0,0,0,0,7,20,0,2,"질문 오타 거절2회 뒤 요약만 전달, 상대요약+제안 수신"
4,21,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-21,success,20,2,2,144,0,0,0,0,0,72,4,20,0,0,요약72개 요청·응답 및 제안
4,22,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-22,success,20,2,2,144,0,0,0,0,0,0,4,20,0,0,요약 교환·제안·제출
5,21,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-21,success,20,2,2,144,0,0,0,0,0,0,4,20,0,0,요약 교환·제안·제출
5,22,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-22,success,20,2,2,144,0,0,0,0,0,72,4,20,0,0,요약72개 요청·응답 및 제안
6,21,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-21,success,20,3,5,146,0,0,0,0,0,74,8,20,1,0,A 제출→B wait→A 유효성·점수 답변/accept→B 제출
6,22,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-22,success,20,4,6,143,1,0,0,0,0,72,8,20,0,0,"B/M3/4 선호도3→정답0, 미정정"
