stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,waits,rejections,notes
2,29,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-29,success,20,2,2,144,0,0,0,0,0,0,5,0,1,중복 summaries 빈 필드 삭제
2,30,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-30,success,20,2,2,144,0,0,0,0,0,0,4,0,0,자료·최적 제안·제출
3,29,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-29,success,20,6,6,152,0,0,0,0,0,73,16,1,7,거절7회; B제출→A wait→B수락 전송→A제출
3,30,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-30,success,20,5,5,144,0,0,0,0,0,72,11,0,4,거절4회; 질문과 정보를 분리 전송
4,29,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-29,success,20,3,3,144,0,0,0,0,0,72,5,0,0,자료·최적 제안·수락·제출
4,30,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-30,success,20,2,2,144,0,0,0,0,0,72,4,0,0,자료·최적 제안·제출
5,29,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-29,success,20,3,3,145,0,0,0,1,1,0,6,0,1,첫 무효 후보를 B1 불가 사유·revise로 교정
5,30,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-30,success,20,2,2,144,0,0,0,0,0,54,4,0,0,요약54개 질문에72개 응답
6,29,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-29,success,20,4,6,146,0,0,0,0,0,0,9,0,1,빠진 info 종류만 추가; 빈 일정 수락
6,30,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-30,success,20,4,6,146,0,0,0,0,0,72,9,0,1,빠진 info 종류만 추가; 빈 일정 수락
