stage,trial,status,score,quality_gap,task_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,protocol_rejections,first_full_schedule,first_full_valid,first_full_score,observation,source
2,1,success,20,0,3,146,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-01/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-01
2,2,success,20,0,5,145,0,0,0,3,3,0,0,"7,6,10",True,19,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-02/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-02
2,3,success,20,0,2,144,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-03/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-03
2,4,success,20,0,4,145,0,0,0,2,2,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-04/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-04
2,5,success,20,0,2,152,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-2/trial-05/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-05
3,1,success,20,0,18,146,0,9,0,0,0,83,6,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-3/trial-01/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-01
3,2,success,20,0,3,180,0,0,0,0,0,72,1,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-3/trial-02/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-02
3,3,success,20,0,6,144,0,0,0,3,3,0,0,"0,6,10",False,,/tmp/arc30-22772406666b/structured-audit-01-05/stage-3/trial-03/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-03
3,4,success,20,0,7,152,0,0,0,0,0,80,3,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-3/trial-04/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-04
3,5,success,20,0,5,149,1,1,0,2,2,72,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-3/trial-05/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-05
