stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,protocol_rejections,first_candidate,notes
2,12,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-12,success,20,4,4,144,0,0,0,0,0,66,0,"m2 A (1,6,10) 20",내용 오류 없음
2,13,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-13,success,20,3,3,146,1,0,0,1,1,0,0,"m2 B (8,6,10) 불가",후보 수정; 별개 B/M3/9 요약 오류 미정정
2,14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-14,success,20,2,2,142,2,0,0,0,0,0,0,"m2 A (1,6,10) 20",A/M3 선호도 2건 미정정
3,12,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-12,success,20,4,4,74,0,0,0,0,0,2,5,"m2 A (1,6,10) 20",요약 요청 오타 반복; 유효성·점수 응답 후 제출
3,13,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-13,success,20,3,3,96,0,0,0,0,0,48,1,"m3 A (1,6,10) 20",질문 타입 availability→available 수정 후 전달
3,14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-14,success,20,3,3,144,0,0,0,1,1,72,0,"m2 A (1,5,10) 불가",자체 불가 요약과 충돌한 후보를 상대가 수정
4,12,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-12,success,20,2,2,144,0,0,0,0,0,0,0,"m2 A (1,6,10) 20",내용 오류 없음
4,13,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-13,success,20,6,6,168,1,0,0,3,3,0,0,"m2 B (8,6,10) 불가",정확한 원자료와 후속 요약 충돌; 상대 명시 반박 후 후보 수락
4,14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-14,success,20,2,2,143,1,0,0,0,0,0,0,"m2 A (1,6,10) 20",A/M1/9 가용성 오류 미정정
5,12,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-12,success,20,8,8,149,0,1,0,4,5,73,0,"m2 A (5,6,10) 불가",불가 후보 반복; 점수 23은 보류; 명시 불가 응답 후 수락
5,13,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-13,success,20,2,2,144,0,0,0,0,0,72,0,"m2 B (1,6,10) 20",내용 오류 없음
5,14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-14,success,20,2,2,180,0,0,0,0,0,72,0,"m2 A (1,6,10) 20",내용 오류 없음
6,12,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-12,success,20,4,6,144,0,0,0,0,0,0,0,"m5 B (1,6,10) 20",내용 오류 없음
6,13,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-13,success,20,4,6,146,0,0,0,0,0,74,1,"m4 B (1,6,10) 20",종류 중복 거절 후 후보만 전달; 요청받아 요약 후속 전달
6,14,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-14,success,20,3,5,144,0,0,0,0,0,0,1,"m5 B (1,6,10) 20",기호 길이 거절 후 사전 수정·수락
