stage,trial,status,score,quality_gap,task_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,wait,task_rejections,setup_rejections,first_candidate,source,observation
2,6,success,20,0,4,147,0,1,0,1,1,2,0,0,0,"m2 A (5,6,10) 불가",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-06/observation.md
2,7,success,20,0,2,144,0,0,0,0,0,72,0,0,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-07/observation.md
2,8,success,20,0,2,144,0,0,0,0,0,0,0,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-2/trial-08/observation.md
3,6,success,20,0,3,144,0,0,0,0,0,72,0,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-3/trial-06/observation.md
3,7,success,19,1,2,133,11,0,0,0,0,72,0,0,0,"m2 B (7,6,10) 19점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-3/trial-07/observation.md
3,8,success,20,0,3,144,0,0,0,0,0,72,0,1,0,"m3 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-3/trial-08/observation.md
4,6,success,20,0,6,147,0,0,0,1,0,72,0,0,0,"m3 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-4/trial-06/observation.md
4,7,success,20,0,5,154,0,0,0,0,0,72,0,1,0,"m3 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-4/trial-07/observation.md
4,8,success,20,0,2,144,0,0,0,0,0,72,0,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-4/trial-08/observation.md
5,6,success,20,0,2,144,0,0,0,0,0,72,0,1,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-5/trial-06/observation.md
5,7,success,20,0,2,144,0,0,0,0,0,72,2,0,0,"m2 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-5/trial-07/observation.md
5,8,success,20,0,4,144,0,0,0,0,0,72,0,0,0,"m2 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-5/trial-08/observation.md
6,6,success,20,0,3,146,0,0,0,0,0,72,1,1,1,"m4 A (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-06,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-6/trial-06/observation.md
6,7,success,20,0,3,144,0,0,0,0,0,72,0,0,0,"m4 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-07,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-6/trial-07/observation.md
6,8,success,20,0,3,144,0,0,0,0,0,74,0,3,2,"m6 B (1,6,10) 20점",/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-08,/private/tmp/arc30-22772406666b/structured-audit-06-08/stage-6/trial-08/observation.md
