stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,waits,rejections,first_candidate,notes
2,15,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-15,success,20,3,3,144,0,0,0,0,0,0,5,0,0,"m2 B (1,6,10) 20",제안·수락 후 양쪽 제출
2,16,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-16,success,20,3,3,144,0,0,0,0,0,0,6,1,0,"m2 A (1,6,10) 20",B 제출→A wait→B accept→A 제출
2,17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-17,success,20,2,2,144,0,0,0,0,0,0,4,0,0,"m2 B (1,6,10) 20",제안 뒤 양쪽 제출
3,15,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-15,success,20,6,6,154,0,0,0,0,0,82,12,0,4,"m2 B (1,6,10) 20",요약질문 오타 4회 거절→개인자료 10개→72개 요청·응답
3,16,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-16,success,20,4,4,126,0,0,0,0,0,54,7,0,1,"m2 A (1,6,10) 20",질문 타입 수정; B 가용 슬롯의 A 요약 54개 수신
3,17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-17,success,20,4,4,144,0,0,0,0,0,72,9,0,3,"m2 B (1,6,10) 20",종류 중복·질문 타입·비ASCII 술어 3회 거절 후 수정
4,15,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-15,success,20,3,3,144,0,0,0,0,0,72,5,0,0,"m2 B (1,6,10) 20",요약 72개 질문·응답 후 수락
4,16,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-16,success,20,4,4,150,0,0,0,0,0,72,6,0,0,"m2 A (1,6,10) 20",후보 슬롯 요약 6개→전체 72개 추가 요청·응답
4,17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-17,success,20,2,2,144,0,0,0,0,0,0,4,0,0,"m2 B (1,6,10) 20",제안 뒤 양쪽 제출
5,15,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-15,success,20,3,3,144,0,0,0,0,0,72,6,1,0,"m2 B (1,6,10) 20",A 제출→B wait→A accept→B 제출
5,16,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-16,success,20,3,3,144,0,0,0,0,0,0,5,0,0,"m2 A (1,6,10) 20",개인자료 수신·제안 수락
5,17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-17,success,20,2,2,144,0,0,0,0,0,72,4,0,0,"m2 B (1,6,10) 20",요약 72개 질문·응답 및 제안
6,15,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-15,success,20,2,4,144,0,0,0,0,0,72,8,0,2,"m4 B (1,6,10) 20",accept_language 사전 필드 제거; 질문 타입 수정
6,16,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-16,success,20,4,6,147,0,0,0,0,0,2,9,0,1,"m5 B (1,6,10) 20",기본 술어를 합의 기호로 수정; 유효성·점수 확인
6,17,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-17,success,20,4,6,146,0,0,0,0,0,2,9,0,1,"m5 A (1,6,10) 20",기본 술어를 합의 기호로 수정; 유효성·점수 확인
